Households_with_Internet,Households_with_Computer,Age_Group_0_29,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone,LR
5309,50180,2234593,21169,375976,0.607012796
3492,20762,1222695,7313,190317,0.601511914
19214,57583,2260457,24216,398076,0.653795745
2896,16198,1032294,6910,149061,0.57669402
4447,24518,1590528,10205,237437,0.572166666
5149,25220,1203938,10279,165535,0.52922243
2635,19712,1149372,6644,200961,0.594654209
1623,13109,946320,3854,149712,0.504517585
3495,41143,2544205,10911,371137,0.447131441
7719,70258,3316422,19282,585210,0.446517227
478,6698,421241,1410,83296,0.432304349
3460,42461,2206340,7292,340890,0.41967663
5319,65548,2860455,11636,486531,0.480311113
1845,25078,1453438,4064,207212,0.463547676
2561,29796,1872943,5041,240730,0.42530274
1093,14073,1139615,2436,130592,0.440757217
4170,33664,2155512,8390,258284,0.408110717
2941,27263,2054202,5118,239686,0.416860277
1397,23309,1311771,4560,182773,0.416921192
1668,19415,1249692,3824,166317,0.42353476
6280,53205,2535344,10325,440719,0.46138084
10290,73012,3016735,23333,547479,0.522641032
3707,33596,1642807,9508,316314,0.539809337
3834,37833,2115448,10891,401299,0.579551378
4509,37442,2516115,10948,423960,0.545933537
4810,39564,2176701,11316,390123,0.55128138
5379,50918,2766930,10621,441421,0.502838628
4644,43127,1951688,9821,334335,0.521343755
1580,21654,1114645,3120,159866,0.460756164
6764,46929,1952879,8644,308044,0.517836463
1704,22300,1291235,3258,181116,0.474414465
2653,17946,860147,3755,149671,0.586224242
1186,8862,650642,2415,95917,0.506807791
631,8873,413475,1728,61568,0.516508418
4156,43848,1829128,7955,273472,0.528184948
40692,132582,3626564,49821,662665,0.592566539
3661,34658,1722387,7391,268330,0.586111603
1784,19324,1074754,5341,174119,0.58007199
2100,17223,1039302,6503,149676,0.565841769
4594,36279,1875174,10819,312557,0.608068196
2362,31168,1626969,7145,235248,0.577149554
6856,57011,2810026,11827,383973,0.523205261
1841,28411,1440781,3991,182748,0.491635972
1839,22414,1135919,4842,159792,0.487721859
1106,11302,714244,2522,100130,0.549963432
413,6378,444448,1386,63570,0.551266118
116,590,27099,638,6150,0.696652863
286,1956,84209,1379,16776,0.684809616
591,2626,87982,2026,21124,0.726870957
3291,9662,165520,6556,49441,0.75578931
96,494,30709,895,4036,0.521699982
202,887,53026,1299,7942,0.577650184
57,885,53752,577,4178,0.488613547
2477,7418,120592,6454,27411,0.685540824
139,750,56054,569,3653,0.542589397
303,1300,70415,1964,10217,0.576678483
450,1582,61993,2072,12744,0.630717439
97,392,21090,430,3491,0.515147225
170,1486,96630,1102,10621,0.493665079
98,888,71785,679,7182,0.428434919
381,1598,55258,2002,9532,0.651053836
95,969,64379,605,3318,0.397562883
17,133,5113,96,816,0.554222889
207,742,35140,703,6616,0.588923817
312,1471,94890,1203,13372,0.569987511
27,252,13913,79,1239,0.471961071
178,2844,168773,1007,13012,0.478006873
537,2728,111243,3805,22667,0.819506531
261,2008,91709,2258,15491,0.730912139
198,1757,106951,1592,14850,0.770744786
3303,12077,243392,10008,60055,0.733972878
170,1558,108514,1780,17005,0.647988594
155,2251,134573,1063,13878,0.597728336
37,635,33970,303,3813,0.591454718
47,478,52699,239,4911,0.557159072
1928,7982,173701,8428,38531,0.736932251
121,1414,64393,649,8013,0.653272981
256,2170,314439,827,13568,0.551973503
125,1362,90273,495,6037,0.604375369
837,4496,168608,1807,24266,0.714718231
676,3447,135220,2009,28217,0.658524257
880,5110,251975,3141,48254,0.637907184
4913,15066,278940,12386,83432,0.757976957
2739,9837,261530,7743,63361,0.711806066
276,2437,113715,1107,12142,0.705600061
184,1782,86255,908,12428,0.626305641
90,1073,55914,565,10031,0.696945487
367,1986,52147,867,12841,0.78488476
4019,21093,235892,9581,73438,0.850830234
186,2263,78778,1237,19039,0.801638236
131,987,39568,702,10185,0.838905401
